name,quadrant,ring,isNew,description
Microsoft Teams - O365,Tools,Contained,TRUE,"Microsoft Teams is cloud-based team collaboration software that is part of the Office 365 suite of applications. The core capabilities in Microsoft Teams include business messaging, calling, video meetings and file sharing
<Microsoft teams is currently being used in limited fashion. Security policies / controls are being built to open up for enterprise. >"
Azure DevOps Wiki for Documentation,Tools,Contained,TRUE,this is a sample
AWS API Gateway,Platforms,Contained,TRUE,<CONTAINED to ELIZa only>
Azure Containers,Platforms,Contained,TRUE,
IBM Infosphere Change Data Capture ,Tools,Contained,TRUE,this is a sample
Jenkins for CI/CD ,Tools,Contained,TRUE,this is a sample
O365 (One Drive),Tools,Contained,TRUE,this is a sample
O365 (SharePoint Online),Tools,Contained,TRUE,this is a sample
O365 (Office Professional Plus),Tools,Contained,TRUE,this is a sample
Azure Key Vault,Tools,Contained,TRUE,this is a sample
Vertica Database,Tools,Contained,TRUE,this is a sample
Dockers,Platforms,Emerging,FALSE,"Docker is an open source software platform to create, deploy and manage virtualized application containers on a common operating system (OS), with an ecosystem of allied tools. "
Serverless,Platforms,Emerging,FALSE,"Serverless computing is a computing execution model in which the provider runs the server, and dynamically manages the allocation of machine resources. Pricing is based on the actual amount of resources consumed by an application, rather than on pre-purchased units of capacity"
Test Driven Development,Techniques,Emerging,FALSE,"
Test-Driven Development (TDD) is a philosophy and practice that recommends building and executing tests before implementing the code or a component of a system. By validating them against a series of agreed-to tests, TDD—an Agile Testing practice—improves system outcomes by assuring that the system implementation meets its requirements. "
Behavior Driven Development (BDD),Techniques,Emerging,FALSE,"Behavior Driven Development (BDD) is a Test-First, Agile Testing practice that provides Built-In Quality by defining (and potentially automating) tests before, or as part of, specifying system behavior.  BDD is a collaborative process that creates a shared understanding of requirements between the business and the Development Team. Its goal is to help guide development, decrease rework, and increase flow. Without focusing on internal implementation, BDD tests are business-facing scenarios that attempt to describe the behavior of a Story, Feature, or Capability from a user’s perspective. When automated, these tests ensure that the system continuously meets the specified behavior even as the system evolves. That, in turn, enables Release on Demand. Automated BDD tests can also serve as the definitive statement regarding the as-built system behavior, replacing other forms of behavioral specifications."
Neo4j,Platforms,Emerging,FALSE,
Containers,Techniques,Emerging,FALSE,this is a sample
SAFE,Languages or Frameworks,Emerging,FALSE,this is a sample
Kotlin,Languages or Frameworks,Emerging,FALSE,this is a sample
Pivotal Cloud Foundry,Platforms,Emerging,FALSE,this is a sample
Flask,Languages or Frameworks,Emerging,FALSE,this is a sample
PAXATA,Tools,Retired,this is a sample,this is a sample
Informatica Data Quality,Tools,Standard,this is a sample,this is a sample
Ansible,Tools,Standard,this is a sample,this is a sample
Terraform,Tools,Standard,this is a sample,this is a sample
Tableau,Tools,Standard,this is a sample,
Automated CI/CD,Techniques,Standard,this is a sample,"1. Established pattern in RA
2. Implemented pipelines
3. Defined patterns / implemenetation recipes for teams to adopt"
Azure DevOps,Tools,Standard,this is a sample,this is a sample
Veracode for SAST,Tools,Standard,this is a sample,this is a sample
